userId,username,email,companyId,cediId,regUser,regDate,regTime,modUser,modDate,modTime,active,delete
USR001,user001,user001@corp.com,5,CEDI03,system,2024-06-13,13:18:24,admin,2024-08-24,07:38:02,true,false
USR002,user002,user002@corp.com,2,CEDI04,admin,2022-07-05,05:16:05,system,2024-07-17,05:24:48,true,false
USR003,user003,user003@corp.com,7,CEDI02,admin,2024-07-14,09:32:41,null,null,null,true,false
USR004,user004,user004@corp.com,9,CEDI03,admin,2022-05-25,20:57:08,system,2024-12-14,05:23:25,true,false
USR005,user005,user005@corp.com,9,CEDI01,root,2023-09-04,09:47:28,system,2024-08-24,20:04:29,true,false
USR006,user006,user006@corp.com,5,CEDI01,system,2023-12-21,07:52:26,null,null,null,true,false
USR007,user007,user007@corp.com,1,CEDI04,root,2022-09-04,22:24:40,null,2024-12-05,09:49:28,true,false
USR008,user008,user008@corp.com,4,CEDI02,root,2022-06-16,19:36:38,system,2023-12-02,00:24:38,true,false
USR009,user009,user009@corp.com,3,CEDI02,admin,2022-09-11,18:26:06,null,null,null,true,false
USR010,user010,user010@corp.com,4,CEDI02,system,2024-04-22,16:11:29,null,2024-11-03,17:57:20,false,false
USR011,user011,user011@corp.com,6,CEDI03,root,2022-10-30,00:15:51,system,2023-07-09,22:18:15,true,false
USR012,user012,user012@corp.com,10,CEDI02,admin,2022-12-15,08:30:44,null,null,null,true,false
USR013,user013,user013@corp.com,5,CEDI01,system,2024-10-19,06:25:05,admin,2024-11-17,22:21:07,true,false
USR014,user014,user014@corp.com,9,CEDI04,admin,2024-03-13,03:36:23,null,2024-04-17,05:11:57,true,false
USR015,user015,user015@corp.com,7,CEDI04,system,2022-02-25,21:06:45,null,null,null,true,true
USR016,user016,user016@corp.com,4,CEDI02,system,2024-06-08,15:42:50,system,2024-10-21,03:29:02,true,false
USR017,user017,user017@corp.com,4,CEDI01,root,2023-01-22,14:29:02,null,2023-10-12,04:18:13,true,false
USR018,user018,user018@corp.com,1,CEDI02,admin,2023-09-28,08:43:12,null,null,null,true,false
USR019,user019,user019@corp.com,7,CEDI03,root,2023-03-12,18:07:04,system,2023-03-31,15:32:45,true,false
USR020,user020,user020@corp.com,2,CEDI04,admin,2022-11-29,01:15:22,admin,2023-04-05,13:56:41,false,false
USR021,user021,user021@corp.com,4,CEDI03,admin,2024-06-20,08:58:58,null,null,null,true,false
USR022,user022,user022@corp.com,5,CEDI01,root,2023-04-26,07:36:30,null,2024-12-19,04:45:08,true,false
USR023,user023,user023@corp.com,5,CEDI01,admin,2024-12-03,00:32:13,null,2024-12-31,11:27:53,true,false
USR024,user024,user024@corp.com,6,CEDI04,root,2024-10-23,14:22:24,null,null,null,true,false
USR025,user025,user025@corp.com,9,CEDI05,admin,2024-11-06,07:49:23,null,2024-11-10,00:39:36,true,false
USR026,user026,user026@corp.com,4,CEDI03,root,2023-08-23,15:27:57,admin,2024-02-25,17:45:26,true,false
USR027,user027,user027@corp.com,5,CEDI04,root,2023-02-26,01:50:40,null,null,null,true,false
USR028,user028,user028@corp.com,5,CEDI02,system,2024-10-09,03:22:21,system,2024-11-14,03:13:49,true,false
USR029,user029,user029@corp.com,6,CEDI02,root,2024-10-22,12:50:55,admin,2024-11-21,13:00:46,true,false
USR030,user030,user030@corp.com,1,CEDI01,admin,2024-09-10,22:17:52,null,null,null,false,true
USR031,user031,user031@corp.com,3,CEDI02,root,2024-03-12,16:30:55,system,2024-04-07,00:32:38,true,false
USR032,user032,user032@corp.com,3,CEDI02,system,2023-01-02,23:40:12,system,2024-11-27,21:08:48,true,false
USR033,user033,user033@corp.com,6,CEDI04,admin,2022-01-14,16:30:56,null,null,null,true,false
USR034,user034,user034@corp.com,9,CEDI02,system,2024-07-06,15:10:53,system,2024-10-19,06:19:11,true,false
USR035,user035,user035@corp.com,7,CEDI04,system,2023-07-29,23:06:21,system,2024-01-27,05:13:36,true,false
USR036,user036,user036@corp.com,8,CEDI05,root,2024-09-07,21:58:15,null,null,null,true,false
USR037,user037,user037@corp.com,4,CEDI01,system,2024-06-08,12:33:20,admin,2024-10-07,09:11:16,true,false
USR038,user038,user038@corp.com,7,CEDI04,system,2023-02-06,23:23:53,null,2023-07-22,21:41:18,true,false
USR039,user039,user039@corp.com,5,CEDI02,admin,2024-07-14,08:39:37,null,null,null,true,false
USR040,user040,user040@corp.com,10,CEDI04,root,2023-04-04,02:01:39,admin,2024-04-06,03:52:06,false,false
USR041,user041,user041@corp.com,8,CEDI01,system,2023-11-09,03:57:30,system,2024-09-29,11:33:46,true,false
USR042,user042,user042@corp.com,1,CEDI01,root,2022-10-24,01:48:01,null,null,null,true,false
USR043,user043,user043@corp.com,8,CEDI05,root,2023-07-21,04:52:08,null,2024-05-25,07:48:37,true,false
USR044,user044,user044@corp.com,5,CEDI02,system,2024-05-19,18:09:58,null,2024-07-21,06:24:20,true,false
USR045,user045,user045@corp.com,1,CEDI01,system,2022-05-18,23:43:43,null,null,null,true,true
USR046,user046,user046@corp.com,7,CEDI01,root,2024-01-14,02:14:03,null,2024-06-15,10:43:28,true,false
USR047,user047,user047@corp.com,2,CEDI01,admin,2023-06-02,23:38:19,system,2024-03-19,10:38:27,true,false
USR048,user048,user048@corp.com,2,CEDI01,system,2022-01-02,04:23:00,null,null,null,true,false
USR049,user049,user049@corp.com,4,CEDI01,system,2024-12-02,16:33:55,null,2024-12-25,02:52:53,true,false
USR050,user050,user050@corp.com,5,CEDI04,admin,2023-06-14,23:57:31,system,2023-11-30,15:42:15,false,false
USR051,user051,user051@corp.com,8,CEDI02,admin,2024-08-14,13:44:24,null,null,null,true,false
USR052,user052,user052@corp.com,4,CEDI01,root,2023-10-06,00:24:04,null,2024-01-01,09:43:17,true,false
USR053,user053,user053@corp.com,2,CEDI02,admin,2022-04-07,14:46:04,admin,2022-04-16,18:04:54,true,false
